Stadtteil,Anteil Bruttoarbeitsentgelt bis 2.000,Anteil Bruttoarbeitsentgelt über 2.000 bis 4.000,Anteil Bruttoarbeitsentgelt über 4.000 bis 5.000,Anteil Bruttoarbeitsentgelt über 5.000,Median Bruttoarbeitsentgelte,Stadtteilnummer,Anteil Wahlberechtigte ohne Sperrvermerk,Anteil Wähler,Anteil darunter Wähler mit Wahlschein,Anteil ungültige Stimmen,Anteil CDU,Anteil SPD,Anteil GRÜNE,Anteil DIE LINKE,Anteil AfD,Anteil FDP,Anteil PIRATEN,Anteil NPD,Anteil FREIE WÄHLER,Anteil Die PARTEI,Anteil BüSo,Anteil MLPD,Anteil BGE,Anteil DKP,Anteil DM,Anteil ÖDP,Anteil Tierschutzpartei,Anteil V-Partei³
Nied,0.2631210636808957,0.48961978073244694,0.11709820387217168,0.13016095171448566,2920.0,37,83.2,68.7,22.9,1.9,26.7,24.5,8.8,10.5,14.2,10.2,0.6,0.3,0.8,0.8,0.0,0.1,0.1,0.0,0.5,0.2,1.5,0.2
Sindlingen,0.2830899670277909,0.4983513895430994,0.12764955252001883,0.09090909090909091,2806.0,38,85.6,66.6,20.2,2.0,29.3,25.9,8.1,9.0,13.6,8.2,0.7,0.6,0.8,1.0,0.0,0.2,0.2,0.1,0.4,0.1,1.6,0.2
Zeilsheim,0.23855855855855856,0.4673873873873874,0.15243243243243243,0.14162162162162162,3073.0,39,84.7,67.2,21.4,1.8,31.1,24.3,7.8,8.2,14.5,8.9,0.5,0.3,0.6,1.0,0.0,0.0,0.2,0.0,0.6,0.0,1.6,0.1
Unterliederbach,0.23724137931034484,0.4824827586206897,0.1296551724137931,0.15062068965517242,2951.0,40,84.9,69.3,20.6,1.4,28.6,24.1,10.1,10.2,11.6,10.4,0.4,0.3,0.8,1.4,0.0,0.1,0.3,0.1,0.2,0.1,1.2,0.1
Sossenheim,0.2858722698368814,0.49903234724910145,0.10533591374066906,0.10975946917334808,2732.0,41,84.4,63.3,22.6,1.5,30.2,22.7,8.1,9.7,13.6,10.1,0.6,0.3,0.9,1.2,0.0,0.1,0.2,0.0,0.4,0.2,1.6,0.2
Nieder-Erlenbach,0.17145421903052063,0.38061041292639136,0.13375224416517056,0.3141831238779174,3758.0,42,75.0,84.7,28.6,0.9,36.1,17.0,12.9,7.5,9.0,14.3,0.3,0.1,0.4,0.6,0.0,0.1,0.0,0.0,0.1,0.3,1.2,0.1
Kalbach-Riedberg,0.14544753086419754,0.34915123456790126,0.15817901234567902,0.3472222222222222,4027.0,43,78.3,82.4,25.2,0.6,33.6,16.9,12.8,7.2,7.4,18.3,0.4,0.1,0.4,0.9,0.0,0.0,0.2,0.0,0.1,0.2,1.0,0.3
Harheim,0.1658206429780034,0.4526226734348562,0.1412859560067682,0.24027072758037224,3355.0,44,76.5,84.1,26.9,1.0,33.9,19.0,11.8,7.4,10.2,13.1,0.1,0.2,0.8,1.2,0.0,0.0,0.1,0.1,0.2,0.1,1.4,0.4
Nieder-Eschbach,0.24372499090578392,0.4470716624226992,0.11676973444889051,0.19243361222262642,3037.0,45,81.7,71.4,24.0,1.4,30.2,21.1,11.1,9.4,12.8,10.5,0.5,0.3,0.9,1.2,0.0,0.1,0.3,0.0,0.1,0.2,1.0,0.2
Bergen-Enkheim,0.18933452834416312,0.43244454402868027,0.13690342818731796,0.24131749943983868,3347.0,46,75.9,78.9,29.0,0.7,30.4,20.0,11.7,8.5,10.0,15.1,0.3,0.2,0.8,1.0,0.0,0.1,0.2,0.0,0.2,0.1,1.1,0.2
Frankfurter Berg,0.21041837571780148,0.46267432321575064,0.13822805578342903,0.18867924528301888,3106.0,47,81.0,73.1,25.0,1.3,28.8,22.0,11.9,10.8,11.2,10.7,0.6,0.3,0.8,1.2,0.0,0.1,0.2,0.0,0.2,0.1,0.8,0.3
